Won,Lost,Errors,Shutouts
75,87,671,1
92,70,627,13
88,74,578,13
63,98,744,6
82,79,667,9
83,79,725,9
88,74,643,6
66,96,765,2
91,71,746,4
73,89,841,8
66,96,795,2
76,86,691,11
93,69,707,6
65,97,779,1
86,76,685,5
68,94,740,8
85,77,722,8
68,94,745,11
95,65,649,9
82,80,654,14
102,60,583,9
86,76,667,7
62,100,794,9
79,83,724,6
116,46,576,14
90,72,680,8
93,69,627,11
62,100,781,6
73,89,913,3
80,82,696,10
99,63,595,14
98,64,630,10
101,59,511,15
67,95,719,3
93,69,603,17
81,81,716,7
67,95,687,9
78,84,690,8
74,88,777,4
73,89,825,8
55,106,773,7
79,83,706,12
84,78,642,11
62,100,834,6
92,70,598,15
56,106,752,4
94,67,662,9
83,79,641,3
103,58,625,11
75,86,624,10
103,59,593,19
80,81,671,9
72,89,664,7
66,96,737,10
93,69,654,12
95,66,566,13
97,65,595,9
55,106,846,3
72,90,824,4
78,84,767,6
77,85,680,9
84,78,621,11
101,61,663,7
71,91,767,3
95,67,729,6
86,76,663,4
88,74,619,14
69,93,818,5
68,94,682,7
74,88,821,4
43,119,847,5
91,71,648,11
87,75,622,5
83,79,808,10
85,77,511,17
68,94,810,3
90,72,716,8
83,79,640,10
101,61,653,12
66,95,704,10
96,66,582,14
86,76,648,13
75,87,744,10
64,98,774,10
93,69,602,15
100,61,595,10
85,77,748,10
63,99,787,7
71,91,903,3
86,76,748,6
92,70,692,11
51,111,794,6
96,66,603,13
78,84,760,10
98,64,674,12
83,79,782,8
89,73,621,6
76,86,832,8
80,82,784,8
68,94,883,2
72,90,788,9
83,79,655,14
92,70,650,13
58,104,813,3
93,69,647,6
67,94,679,10
92,70,661,9
67,95,696,11
101,61,752,5
71,91,658,6
91,71,682,8
86,76,724,5
72,89,680,8
87,75,645,8
63,99,772,7
91,71,695,8
105,57,605,12
70,91,757,5
89,73,724,9
67,94,775,11
77,85,783,10
90,72,639,12
74,88,724,9
95,67,752,8
99,63,592,10
79,83,671,10
73,89,820,1
93,69,582,10
67,95,808,4
71,91,719,2
83,79,666,15
89,73,563,11
56,106,862,4
95,67,598,11
71,91,695,9
81,81,635,6
83,79,604,8
95,67,718,14
83,79,599,11
88,74,594,12
88,74,672,6
67,95,706,14
82,80,668,8
69,93,712,7
75,87,695,8
100,62,560,14
67,95,851,4
79,83,794,6
80,82,653,8
81,81,627,9
76,86,727,9
79,83,736,6
70,92,843,9
86,76,773,6
90,72,743,11
66,96,758,7
80,82,725,10
78,84,698,13
76,86,749,8
95,67,618,16
78,84,696,6
82,80,666,12
62,100,896,5
89,73,652,12
88,74,686,10
75,87,763,8
96,66,632,6
97,65,708,8
97,65,673,12
93,69,679,11
85,77,747,6
67,95,720,10
88,74,629,11
78,84,739,6
76,85,735,9
83,78,721,9
61,101,782,7
80,82,731,8
87,75,694,6
71,91,803,3
90,72,662,12
84,78,665,6
69,93,827,9
96,66,618,13
72,90,763,9
85,77,650,10
72,90,796,7
96,66,658,9
90,73,706,7
88,74,735,9
71,91,793,4
73,89,761,6
69,93,716,6
94,68,674,9
82,80,677,6
83,79,708,6
79,83,663,8
94,68,724,5
88,74,687,10
76,86,689,9
89,73,767,5
68,94,793,5
89,74,611,20
88,74,754,12
71,91,677,10
78,84,741,8
66,96,879,2
75,87,755,6
83,79,644,9
73,89,736,6
82,80,635,9
72,90,714,7
68,93,810,4
95,67,645,16
89,74,658,10
97,64,624,8
74,88,729,6
81,81,711,13
74,88,766,8
74,88,786,2
84,77,707,8
86,75,691,13
75,87,720,8
100,62,644,10
84,78,591,11
90,72,623,10
88,75,675,10
89,73,685,11
89,73,662,12
75,86,640,7
92,70,625,11
67,95,822,7
63,99,714,6
61,101,754,4
72,90,701,12
86,76,677,7
97,65,618,12
79,83,860,8
86,76,561,13
59,102,742,8
70,92,711,12
86,76,581,10
64,98,817,3
95,67,695,11
79,83,663,11
83,78,616,8
78,84,677,12
65,97,806,6
92,70,675,7
86,77,690,9
87,75,690,5
74,88,722,10
65,97,765,9
97,65,715,13
95,67,558,9
80,82,770,8
87,76,726,7
103,59,687,8
70,92,705,12
75,87,685,10
93,69,673,9
62,99,723,7
75,87,704,9
85,77,625,10
88,74,571,18
91,71,586,11
84,78,686,5
87,75,698,11
75,87,720,10
59,103,791,3
65,97,765,3
91,71,569,9
66,96,733,7
89,73,679,9
88,74,658,11
75,87,668,14
91,71,648,9
69,93,684,4
83,79,663,12
81,81,690,5
80,82,652,17
76,86,654,11
67,95,794,3
80,82,651,9
80,82,643,16
77,85,733,7
94,68,638,13
95,67,651,8
79,83,597,19
81,81,566,17
97,65,594,21
57,105,784,6
90,72,549,20
61,101,628,10
92,70,546,17
86,76,577,16
96,66,611,12
90,72,636,8
85,77,676,11
69,93,658,5
94,68,609,12
89,73,572,16
69,93,786,7
90,72,680,13
79,83,665,14
71,91,690,5
79,83,678,5
80,82,683,4
73,89,713,7
95,67,647,14
72,90,640,11
56,106,719,6
71,91,716,6
86,76,581,11
82,79,563,17
96,66,582,13
63,99,724,8
97,65,605,8
77,85,674,9
74,88,597,12
102,60,495,21
72,90,650,11
71,91,551,10
67,95,621,10
86,76,522,12
90,72,608,9
91,71,577,13
96,66,607,19
81,81,700,10
80,81,577,10
81,81,626,9
94,68,549,16
93,69,642,10
69,93,754,4
85,77,646,11
61,101,708,9
97,65,540,12
68,94,766,6
64,98,824,7
88,74,596,8
55,107,721,11
72,90,693,12
89,73,640,16
86,76,538,10
69,93,655,7
83,79,682,9
66,96,762,6
95,67,617,9
74,88,651,13
94,68,569,13
81,81,618,11
79,83,615,10
76,86,640,11
75,87,608,11
94,68,593,14
88,74,603,10
90,72,518,15
93,69,639,10
73,89,745,11
98,64,543,9
81,81,651,7
96,66,512,12
85,77,678,6
97,65,613,8
63,99,643,5
66,96,643,6
90,72,554,17
92,70,611,16
74,88,708,5
93,69,587,12
51,111,766,5
86,76,555,12
78,84,685,12
92,70,524,22
62,100,602,13
74,88,615,15
66,96,733,7
85,77,633,10
74,88,618,10
96,66,574,13
73,89,689,3
94,68,533,16
76,86,643,6
71,91,702,14
76,86,643,13
97,65,555,15
92,71,608,17
91,72,589,10
74,88,685,11
86,76,576,13
64,98,683,4
79,83,547,13
96,66,557,13
71,91,653,7
73,89,687,6
73,89,636,11
76,86,576,13
85,77,581,15
66,96,770,4
90,72,648,8
70,92,657,3
89,73,565,14
98,64,590,13
94,68,554,16
77,85,613,16
82,80,594,9
70,92,728,7
84,78,605,10
79,83,568,11
88,74,524,13
73,89,619,12
88,74,562,7
77,85,523,10
87,75,512,9
88,74,564,12
90,72,564,23
77,85,579,22
67,95,711,17
83,79,642,16
96,66,495,19
79,83,659,12
67,95,698,10
81,81,646,10
78,84,694,10
76,86,643,9
97,65,546,21
64,98,700,8
81,80,584,10
68,94,799,4
74,87,746,12
86,76,572,13
95,67,601,8
85,77,630,12
92,70,553,21
71,91,638,12
68,94,682,7
83,79,653,12
87,75,652,4
90,72,557,14
68,94,664,15
63,99,749,7
98,64,532,13
74,88,655,6
76,86,677,12
84,78,597,18
100,62,478,15
80,82,604,12
88,74,680,9
93,69,609,10
83,79,577,13
69,93,821,7
68,93,725,9
89,73,671,9
93,69,640,5
78,84,659,10
103,58,511,15
68,94,786,8
94,67,617,11
75,87,779,9
86,75,672,8
84,78,663,8
81,81,674,7
74,88,676,12
91,71,598,15
79,82,646,12
73,89,650,7
59,103,814,3
84,78,660,10
87,75,574,13
69,93,718,7
71,91,739,12
78,83,679,5
68,94,708,9
86,76,647,8
87,75,593,11
86,76,656,10
68,94,665,8
95,67,700,6
89,73,613,10
95,67,570,12
93,69,586,11
72,90,756,6
75,87,795,10
93,69,610,11
67,95,755,3
92,70,636,8
68,94,821,8
102,60,529,19
87,75,721,9
64,98,846,4
101,61,662,9
80,82,737,6
80,82,672,10
104,58,543,16
77,85,772,7
86,76,642,12
85,77,732,11
91,71,599,7
70,92,799,5
75,87,743,6
66,96,729,7
75,87,676,12
71,91,742,12
78,84,713,9
64,98,726,5
83,79,646,12
80,82,638,9
78,84,742,6
76,86,720,6
97,65,623,5
